resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,device_name,id,id_str,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,workout_type,average_cadence,average_temp,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules,elev_high,elev_low
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Morning Walk,0.0,1200,1200,0.0,Walk,Walk,WHOOP,19579468313,19579468313,2026-08-03T07:45:00Z,2026-08-03T08:45:00Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,0,0,1,0,"{'id': 'a19579468313', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,92.1,112.0,False,True,20704909153,20704909153,36397203_28784382-4bb1-4f0a-8c93-42b21e8221c4_walking_17857431009962850753039595364.fit,False,0,1,False,2.0,,,,,,,,,,
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Afternoon Ride,0.0,779,779,0.0,Ride,Ride,WHOOP,19585318273,19585318273,2026-08-03T16:31:00Z,2026-08-03T17:31:00Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,0,0,1,0,"{'id': 'a19585318273', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,b17389585,[],[],0.0,0.0,True,88.3,110.0,False,True,20710970110,20710970110,36397203_d9866461-e8c9-481c-bc2a-0a129b3804fd_cycling_17857746607707203233021155507.fit,False,0,1,False,1.0,,,,,,,,,,
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Morning Run,2453.0,1056,1505,3.0,Run,Run,Suunto Race S,19592836437,19592836437,2026-08-04T06:22:43Z,2026-08-04T07:22:43Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,2,0,0,1,0,"{'id': 'a19592836437', 'summary_polyline': 'qv`tFjwbu@RDxEdBh@Nj@C\\Kb@]\\q@HCHDB\\Iv@@|@CzAB~AEj@IXMT}AvA_A^u@JW?gAO_Bq@gAW{AMw@@}@F_AR{@ZaBv@uAd@oAVs@FI?GIIa@AwACm@@MDKHE`@?n@IbAC`ASCHe@oAKMMKY?kALc@HOPIN?ZDRHNLHT@bCSh@KBKa@XQF_CLOAICMKGIEQ?c@L[PMVIxBQPFPNHRLj@AKDGbAIDE@S', 'resource_state': 2}",False,False,False,False,everyone,False,g28221115,"[40.150557, -8.866807]","[40.150097, -8.866748]",2.323,4.2,True,121.5,153.0,False,True,20718781678,20718781678,6a718b556dc50866012ffb66.fit,False,1,0,False,4.0,,83.4,26.0,191.4,272.0,161.0,True,202.1,14.4,4.0
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Morning Walk,0.0,1500,1500,0.0,Walk,Walk,WHOOP,19593552166,19593552166,2026-08-04T07:45:00Z,2026-08-04T08:45:00Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,0,0,1,0,"{'id': 'a19593552166', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,True,89.3,111.0,False,True,20719519756,20719519756,36397203_f17ea76a-adbc-4854-8fbc-87fc4b05d039_walking_17858295008409477758580564773.fit,False,0,1,False,3.0,,,,,,,,,,
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Commuting,1949.6,270,326,3.0,Ride,Ride,Wahoo ELEMNT BOLT 3,19599990574,19599990574,2026-08-04T16:35:04Z,2026-08-04T17:35:04Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,2,0,0,1,0,"{'id': 'a19599990574', 'summary_polyline': 'omctFtucu@KfAe@tBENIJULEJEJ?NBHTVb@Ph@NDFJp@DJHFTFHARQNi@JSf@ShA{@bBiBl@c@f@o@n@c@dCaCn@i@~CwBvCgBhCaBbE{BlAm@r@g@pBs@vBq@p@]n@a@d@Qr@M`BE`CQ', 'resource_state': 2}",False,True,False,False,everyone,False,b8952706,"[40.16391, -8.870295]","[40.150833, -8.866105]",7.221,10.7,True,99.4,119.0,False,True,20726180472,20726180472,2026-08-04-163504-ELEMNT_BOLT_9D28-159-020260804-30215-eupl3u.fit,False,0,0,False,0.0,10.0,72.0,26.0,103.3,309.0,107.0,True,28.9,34.6,25.8
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Morning Walk,1995.3,1699,2125,21.2,Walk,Walk,WHOOP,19608849073,19608849073,2026-08-05T07:41:20Z,2026-08-05T08:41:20Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,0,0,1,0,"{'id': 'a19608849073', 'summary_polyline': 'mpatFlxbu@g@HSKE?E@CFCAGDIC[DWPW?_@Bq@NOIM?QL_@Dm@`@[PaAVy@f@_@\\QDGXAPCD]DOFWAa@NQ?SPOFEF_@DSRc@ZOFKJUFo@Zo@j@QRC?IL_@Rg@`@C@OEE@KDSTa@XG?QHA?F`@GFDE?@?EC@B?C?AB@@@C@FAGA@CQKB_@GS@[HGNG@EAWFQNKRSIYBKCQJMAO@[JSJWDIDc@b@KCi@PKNUFWNQNK@MPe@PO@YNa@TEAQ[Ok@QSUm@[eAIm@[uAYm@u@y@S]', 'resource_state': 2}",False,False,False,False,everyone,False,,"[40.151209, -8.866545]","[40.164553, -8.867749]",1.174,3.269,True,83.3,102.0,False,True,20735368243,20735368243,36397203_9dbe97e7-d56f-4fb1-a774-b077d18bba51_walking_178591568013706247475642346447.fit,False,0,1,False,3.0,,,,,,,,,29.7,8.4
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Lunch Run,2391.0,790,819,21.0,Run,Run,Suunto Race S,19611333664,19611333664,2026-08-05T11:26:13Z,2026-08-05T12:26:13Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,2,0,1,0,"{'id': 'a19611333664', 'summary_polyline': 'isctFxfcu@N^^T\\`@FJL^^dBN`@R~@Tv@BROv@Cd@YrAO`A@\\Eb@@JHNl@XDJGbB?LDJx@`@H?xAqB|@}@HCD@PZb@\\TF^H`@A`AOj@Q`@Y^]n@_AbAmBd@i@f@[x@]`@Iv@GfA@`@Cp@Iz@U~@a@`DkCt@c@n@Wj@Q^Sr@KjACDIC[Iw@Mu@Ec@O_AA]FMl@_@`Au@FGHUF]BYCk@ESCCSIAE?It@e@zA{@n@a@p@[FI~@Y', 'resource_state': 2}",False,False,False,False,everyone,False,g28221115,"[40.164613, -8.867732]","[40.152542, -8.864082]",3.027,3.906,True,159.0,177.0,False,True,20737937547,20737937547,6a73242dca19876e3c0a23b7.fit,False,0,0,False,33.0,,87.4,31.0,208.8,239.0,205.0,True,164.9,28.6,7.4
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Commuting,1504.9,334,411,21.0,Ride,Ride,Wahoo ELEMNT BOLT 3,19612414607,19612414607,2026-08-05T13:07:41Z,2026-08-05T14:07:41Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,0,0,1,0,"{'id': 'a19612414607', 'summary_polyline': 'cjbtF`ecu@qC`Bm@XaAl@oAp@gAb@s@d@aBdBaAz@u@v@i@^e@f@wDjDgBhAeAN[Ik@YIS?Mz@eEJQTGFGBG?QEQS_@_@sASw@Q_Ac@eBKSQSk@gA', 'resource_state': 2}",False,True,False,False,everyone,False,b8952706,"[40.155998, -8.86758]","[40.164577, -8.867749]",4.506,7.1,True,117.9,137.0,False,True,20739060107,20739060107,2026-08-05-130741-ELEMNT_BOLT_9D28-160-020260805-7-3yfxzi.fit,False,0,0,False,1.0,10.0,71.8,24.0,126.5,244.0,122.0,True,43.1,29.8,8.0
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Commuting,2303.8,409,500,1.0,Ride,Ride,Wahoo ELEMNT BOLT 3,19643423249,19643423249,2026-08-05T16:42:14Z,2026-08-05T17:42:14Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,1,0,0,1,0,"{'id': 'a19643423249', 'summary_polyline': 'srctFhgcu@HVLNA@?D\\b@NZ`BpGBRG|AEXi@xBMPQHEFGVBJFFb@Xp@XDFHTDd@DJNNJBHAJCFITg@FKdBoApCgCj@m@|BwBnAgAhByAtA}@lDuBpBwA~@_@jBgAtAq@rAAp@Wp@_@`@GL?~@bIBJDFFBr@@tBZfAJtABjAGhAOdAWl@Q', 'resource_state': 2}",False,True,False,False,everyone,False,b8952706,"[40.164577, -8.867793]","[40.151417, -8.86793]",5.633,10.9,True,96.6,117.0,False,True,20771326667,20771326667,2026-08-05-164214-ELEMNT_BOLT_9D28-161-020260807-7-i7m01v.fit,False,1,0,False,1.0,10.0,63.0,26.0,57.5,261.0,79.0,True,23.6,26.6,9.2
2,"{'id': 3606646, 'id_str': '3606646', 'resource_state': 1}",Afternoon Ride,0.0,1079,1079,0.0,Ride,Ride,WHOOP,19615546854,19615546854,2026-08-05T16:46:00Z,2026-08-05T17:46:00Z,(GMT+00:00) Europe/Lisbon,3600.0,,,,0,0,0,1,0,"{'id': 'a19615546854', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,b17389585,[],[],0.0,0.0,True,86.3,116.0,False,True,20742321565,20742321565,36397203_eda26473-54b2-45f9-b00e-6de20511f43f_cycling_178594836012770155418213394735.fit,False,0,1,False,2.0,,,,,,,,,,
